transaction_id,user_id,timestamp,amount,txns_last_1min,txns_last_5min,distinct_ips_last_1hr,km_from_prev,minutes_since_prev,implied_speed_kmh,is_new_device,amount_zscore,is_fraud,fraud_type,iso_anomaly_score,iso_flag,lr_fraud_probability,model_flag
TXN149272,U005682,2025-02-05 19:02:00,1709.41,1,2,2,2061.8089223664315,2.0,61854.267670992944,1,2.767067667003326,1,location_ip,0.26459931167158857,1,1.0,1.0
TXN122675,U005025,2025-01-17 13:01:57,585.02,9,11,11,3.245539750389044,0.0166666666666666,11683.94310140056,0,-0.1668527656865305,1,velocity,0.25872160012094525,1,1.0,1.0
TXN108140,U003454,2025-01-06 22:01:17,63.86,10,11,11,6.3560047137032605,0.05,7627.205656443912,0,-1.7084871818925764,1,velocity,0.2537967601543353,1,1.0,1.0
TXN126914,U005374,2025-01-20 15:01:52,849.4,8,9,9,4.6997287939948285,0.0333333333333333,8459.511829190691,0,-0.282336110572385,1,velocity,0.24733995135927955,1,1.0,1.0
TXN142635,U003239,2025-02-01 00:01:16,978.15,6,6,6,6.826711876100244,0.0166666666666666,24576.16275396088,0,-0.5017968698558196,1,velocity,0.24726610516615177,1,1.0,1.0
TXN153056,U001528,2025-02-08 15:02:24,200.75,8,14,14,4.616182248353095,0.0166666666666666,16618.25609407114,0,-0.2584448037826021,1,velocity,0.2672686024299784,1,1.0,1.0
TXN160978,U000498,2025-02-14 10:01:29,186.99,9,12,12,3.345744964259985,0.35,573.5562795874259,0,-1.0484795236932414,1,velocity,0.23095442179141767,1,1.0,1.0
TXN156867,U003958,2025-02-11 11:02:00,160.7,1,2,2,2080.015242141368,2.0,62400.45726424104,1,0.2921463120089009,1,location_ip,0.25866660311756107,1,1.0,1.0
TXN128650,U000928,2025-01-21 19:02:00,1393.64,1,2,2,1654.839116799172,2.0,49645.17350397516,1,2.558739914704523,1,location_ip,0.26112216075759376,1,1.0,1.0
TXN104069,U004661,2025-01-03 21:02:25,201.71,5,12,12,4.258209220680562,0.0166666666666666,15329.553194450022,0,0.1868427759679586,1,velocity,0.26227770687039076,1,1.0,1.0
TXN219291,U000432,2025-03-28 17:02:29,10.0,8,15,15,7.727110577660859,0.2333333333333333,1986.9712913985068,0,-0.3389510233437681,1,velocity,0.24335461377620837,1,1.0,1.0
TXN116630,U000321,2025-01-13 05:02:00,1064.94,1,2,2,1358.3607154263375,2.0,40750.821462790125,1,1.821660894386388,1,location_ip,0.2538392062418662,1,1.0,1.0
TXN183288,U004968,2025-03-02 12:01:26,87.88,9,12,12,0.7736093458013965,0.05,928.3312149616758,0,-0.2182476007959653,1,velocity,0.23841766030466693,1,1.0,1.0
TXN143979,U001385,2025-02-01 23:02:00,255.73,1,2,2,1371.808916123536,2.0,41154.26748370608,1,2.374946396975098,1,location_ip,0.2553259031673567,1,1.0,1.0
TXN204732,U004773,2025-03-18 07:02:00,313.34,1,2,2,1654.839116799172,2.0,49645.17350397516,1,-0.179538133718747,1,location_ip,0.25799461807669355,1,1.0,1.0
TXN159252,U003675,2025-02-13 05:02:00,144.14,1,2,2,1696.4662800781273,2.0,50893.98840234382,1,-1.732620769237189,1,location_ip,0.2546643838807533,1,1.0,1.0
TXN108136,U003454,2025-01-06 22:00:48,145.95,8,8,8,3.530829674743272,0.0333333333333333,6355.493414537889,0,-0.4218561732337701,1,velocity,0.23965054394888652,1,1.0,1.0
TXN200732,U004980,2025-03-15 05:00:50,319.23,7,7,7,8.18984943685226,0.05,9827.819324222712,0,-0.6381159308088279,1,velocity,0.2421033177052737,1,1.0,1.0
TXN169191,U001889,2025-02-20 09:02:14,272.82,8,13,13,2.553402335804691,0.0666666666666666,2298.0621022242217,0,0.0379803570283298,1,velocity,0.24590153392756053,1,1.0,1.0
TXN185403,U003563,2025-03-03 21:01:00,151.33,7,7,7,2.8405671148525835,0.0166666666666666,10226.0416134693,0,-0.6011098059561758,1,velocity,0.23934889844139917,1,1.0,1.0
TXN129086,U002517,2025-01-22 07:01:51,187.6,8,9,9,5.82052671179021,0.0666666666666666,5238.474040611189,0,-0.3581632790860269,1,velocity,0.2449569783295047,1,1.0,1.0
TXN127627,U001845,2025-01-21 03:00:35,242.01,6,6,6,7.114044867305724,0.0166666666666666,25610.56152230061,0,-0.0032567506692531,1,velocity,0.2514051280284053,1,1.0,1.0
